abandonadores	abandonador	Gender=Masc|Number=Plur
abandonatária	abandonatário	Gender=Fem|Number=Sing
abandonatárias	abandonatário	Gender=Fem|Number=Plur
abandonatário	abandonatário	Gender=Masc|Number=Sing
abandonatários	abandonatário	Gender=Masc|Number=Plur
abandono	abandono	Gender=Masc|Number=Sing
abandonos	abandono	Gender=Masc|Number=Plur
abanico	abanico	Gender=Masc|Number=Sing
abanicos	abanico	Gender=Masc|Number=Plur
abano	abano	Gender=Masc|Number=Sing
abanos	abano	Gender=Masc|Number=Plur
abantesma	abantesma	Number=Sing
abantesmas	abantesma	Number=Plur
abanão	abanão	Gender=Masc|Number=Sing
abanões	abanão	Gender=Masc|Number=Plur
abarcador	abarcador	Gender=Masc|Number=Sing
abarcadora	abarcador	Gender=Fem|Number=Sing
abarcadoras	abarcador	Gender=Fem|Number=Plur
abarcadores	abarcador	Gender=Masc|Number=Plur
abarcamento	abarcamento	Gender=Masc|Number=Sing
abarcamentos	abarcamento	Gender=Masc|Number=Plur
abaremotemo	abaremotemo	Gender=Masc|Number=Sing
abaremotemos	abaremotemo	Gender=Masc|Number=Plur
abarognosia	abarognosia	Gender=Fem|Number=Sing
abarognosias	abarognosia	Gender=Fem|Number=Plur
abarracamento	abarracamento	Gender=Masc|Number=Sing
abarracamentos	abarracamento	Gender=Masc|Number=Plur
abarrotamento	abarrotamento	Gender=Masc|Number=Sing
abarrotamentos	abarrotamento	Gender=Masc|Number=Plur
abas	aba	Gender=Fem|Number=Plur
abasia	abasia	Gender=Fem|Number=Sing
abasias	abasia	Gender=Fem|Number=Plur
abastamento	abastamento	Gender=Masc|Number=Sing
abastamentos	abastamento	Gender=Masc|Number=Plur
abastança	abastança	Gender=Fem|Number=Sing
abastanças	abastança	Gender=Fem|Number=Plur
abastardamento	abastardamento	Gender=Masc|Number=Sing
abastardamentos	abastardamento	Gender=Masc|Number=Plur
abastecedor	abastecedor	Gender=Masc|Number=Sing
abastecedora	abastecedor	Gender=Fem|Number=Sing
abastecedoras	abastecedor	Gender=Fem|Number=Plur
abastecedores	abastecedor	Gender=Masc|Number=Plur
abastecedouro	abastecedouro	Gender=Masc|Number=Sing
abastecedouros	abastecedouro	Gender=Masc|Number=Plur
abastecimento	abastecimento	Gender=Masc|Number=Sing
abastecimentos	abastecimento	Gender=Masc|Number=Plur
abate	abate	Gender=Masc|Number=Sing
abatedor	abatedor	Gender=Masc|Number=Sing
abatedora	abatedor	Gender=Fem|Number=Sing
abatedoras	abatedor	Gender=Fem|Number=Plur
abatedores	abatedor	Gender=Masc|Number=Plur
abatedouro	abatedouro	Gender=Masc|Number=Sing
abatedouros	abatedouro	Gender=Masc|Number=Plur
abates	abate	Gender=Masc|Number=Plur
abati	abati	Gender=Masc|Number=Sing
abatimento	abatimento	Gender=Masc|Number=Sing
abatimentos	abatimento	Gender=Masc|Number=Plur
abatis	abati	Gender=Masc|Number=Plur
abaulamento	abaulamento	Gender=Masc|Number=Sing
abaulamentos	abaulamento	Gender=Masc|Number=Plur
abc	abc	Gender=Masc|Number=Sing
abdicador	abdicador	Gender=Masc|Number=Sing
abdicadora	abdicador	Gender=Fem|Number=Sing
abdicadoras	abdicador	Gender=Fem|Number=Plur
